,origin,index,city_name,street_name,block,lot,community_board
392,w9ak-ipjd,2,LONG ISLAND CITY,OCEAN TER,683,1,502
393,w9ak-ipjd,3,BROOKLYN,3 AVE,6133,56,310
394,w9ak-ipjd,4,BROOKLYN,LOTT ST,5136,58,317
395,w9ak-ipjd,5,BROOKLYN,AVENUE N,7665,4,314
396,w9ak-ipjd,6,BROOKLYN,FRANKLIN AVE,1927,6,303
397,w9ak-ipjd,7,BROOKLYN,BAY 10 ST,6460,310,311
398,w9ak-ipjd,8,LONG ISLAND CITY,WEST 17 ST,741,10,104
399,w9ak-ipjd,9,BROOKLYN,EAST 26 ST,6832,64,315
400,w9ak-ipjd,10,BROOKLYN,60 ST,5519,34,312
401,w9ak-ipjd,11,BROOKLYN,BAY 34 ST,6861,67,311
402,w9ak-ipjd,12,ROCKAWAY POINT,BEACH 215 ST,16350,400,414
