origin,index,city_name,street_name,block,lot,community_board
8fei-z6rz,1,BRONX,WALTON AVE,,,
8fei-z6rz,2,BROOKLYN,GATEWAY DR,,,
bty7-2jhb,1,NEW YORK,6 AVE,1264,5,105
bty7-2jhb,2,L.I.C.,OCEAN TER,683,1,502
bty7-2jhb,3,BROOKLYN,3 AVE,6133,56,310
bty7-2jhb,4,BROOKLYN,LOTT ST,5136,58,317
bty7-2jhb,5,BROOKLYN,AVENUE N,7665,4,314
bty7-2jhb,6,BROOKLYN,FRANKLIN AVE,1927,6,303
bty7-2jhb,7,BROOKLYN,BAY 10 ST,6460,310,311
bty7-2jhb,8,LIC,WEST 17 ST,741,10,104
bty7-2jhb,9,BROOKLYN,EAST 26 ST,6832,64,315
bty7-2jhb,10,BROOKLYN,60 ST,5519,34,312
bty7-2jhb,11,BROOKLYN,BAY 34 ST,6861,67,311
bty7-2jhb,12,ROCKAWAY POINT,BEACH 215 ST,16350,400,414
bty7-2jhb,13,LIC,RALPH AVE,1518,1,303
bty7-2jhb,14,MANHATTAN,RIVINGTON ST,411,7501,103
bty7-2jhb,15,BROOKLYN,SHARON ST,2913,26,301
bty7-2jhb,16,JAMAICA,BROADWAY,531,3,102
bty7-2jhb,17,NEW YORK,23 ST,646,64,307
bty7-2jhb,18,JAMAICA,BROADWAY,531,3,102
bty7-2jhb,19,BROOKLYN,FRONT ST,45,25,302
bty7-2jhb,20,BROOKLYN,SNYDER AVE,5108,54,317
bty7-2jhb,21,NEW YORK,EAST 28 ST,857,24,105
bty7-2jhb,22,STATEN ISLAND,MAIN ST,8028,75,503
bty7-2jhb,23,NEW YORK,EAST 28 ST,857,24,105
bty7-2jhb,24,MANHATTAN,WEST 75 ST,1147,8,107
bty7-2jhb,25,NEW HYDE PARK,HYLAN BLVD,3969,1,502
bty7-2jhb,26,BROOKLYN,OCEAN PKWY,7239,1,313
bty7-2jhb,27,NEW YORK,EAST 28 ST,857,24,105
bty7-2jhb,28,LIC,RESERVOIR AVE,3247,70,207
bty7-2jhb,29,NEW YORK,EAST 27 ST,883,14,105
bty7-2jhb,30,BROOKLYN,EAST 12 ST,439,26,103
bty7-2jhb,31,L.I.C.,JEROME AVE,3188,14,205
bty7-2jhb,32,LIC,RESERVOIR AVE,3247,70,207
bty7-2jhb,33,FAR ROCKAWAY,HEALY AVE,15722,41,414
bty7-2jhb,34,BROOKLYN,SCHERMERHORN ST,166,51,302
bty7-2jhb,35,BROOKLYN,SCHERMERHORN ST,166,51,302
bty7-2jhb,36,BROOKLYN,EAST 84 ST,7962,85,318
bty7-2jhb,37,NEW YORK,1 AVE,1338,30,106
bty7-2jhb,38,BROOKLYN,SCHERMERHORN ST,166,51,302
bty7-2jhb,39,BROOKLYN,SCHERMERHORN ST,166,51,302
bty7-2jhb,40,BROOKLYN,GLEN ST,4168,22,305
bty7-2jhb,41,NEW YORK,3 AVE,1329,1,106
bty7-2jhb,42,NEW YORK,7 AVE,803,7502,105
bty7-2jhb,43,NEW YORK,CENTRAL RD,1819,203,111
bty7-2jhb,44,BROOKLYN,AVENUE O,6603,2,311
bty7-2jhb,45,NEW YORK,EAST 75 ST,1409,40,108
bty7-2jhb,46,NEW YORK,10 AVE,1051,7502,104
bty7-2jhb,47,NY,EAST 10 ST,555,1,102
bty7-2jhb,48,NEW YORK,RIVERSIDE DR,1889,40,107
bty7-2jhb,49,NEW YORK,YORK AVE,1462,5,108
bty7-2jhb,50,BROOKLYN,AVENUE L,8244,1,318
bty7-2jhb,51,NEW YORK,5 AVE,1269,41,105
bty7-2jhb,52,BROOKLYN,CLINTON ST,255,25,302
bty7-2jhb,53,JERSEY CITY,WEST ST,16,260,101
bty7-2jhb,54,NEW YORK,3 AVE,1320,46,106
bty7-2jhb,55,NEW YORK,WEST 46 ST,1094,18,104
bty7-2jhb,56,L.I.C.,JEROME AVE,3247,170,207
bty7-2jhb,57,BROOKLYN,54 ST,5677,15,312
bty7-2jhb,58,BRONX,PRATT AVE,4941,30,212
bty7-2jhb,59,LIC NY,EAST 145 ST,2306,54,201
bty7-2jhb,60,ROSLYN,LEXINGTON AVE,1798,77,303
bty7-2jhb,61,BRONX,EAST 149 ST,2335,16,201
bty7-2jhb,62,LAS VEGAS,2 AVE,1326,22,106
bty7-2jhb,63,NEW YORK,GATES AVE,3342,1,304
bty7-2jhb,64,NEW YORK,GATES AVE,3342,1,304
bty7-2jhb,65,MANHATTAN,WEST 75 ST,1147,111,107
bty7-2jhb,66,BRONX,KATONAH AVE,3385,1,212
bty7-2jhb,67,NEW YORK,EAST 31 ST,860,49,105
bty7-2jhb,68,ROSLYN,LEXINGTON AVE,1802,51,303
bty7-2jhb,69,NEW YORK,PALMETTO ST,3342,1,304
bty7-2jhb,70,NEW YORK,WEST 62 ST,1114,7502,107
bty7-2jhb,71,BRONX,DE REIMER AVE,5020,76,212
bty7-2jhb,72,NEW YORK,PALMETTO ST,3351,1,304
bty7-2jhb,73,ROSLYN,LEXINGTON AVE,1798,20,303
bty7-2jhb,74,BROOKLYN,HENDRIX ST,4074,36,305
bty7-2jhb,75,BROOKLYN,WEST 34 ST,784,12,105
bty7-2jhb,76,NEW YORK,ROCKEFELLER PLZ,1266,1,105
bty7-2jhb,77,BROOKLYN,EAST 1 ST,7104,202,315
bty7-2jhb,78,BROOKLYN,EAST 95 ST,8221,61,318
bty7-2jhb,79,BRONX,AMUNDSON AVE,4988,66,212
bty7-2jhb,80,BROOKLYN,TROUTMAN ST,3170,41,304
bty7-2jhb,81,NEW YORK,WEST 75 ST,1167,7501,107
bty7-2jhb,82,NY,WEST 58 ST,1010,61,105
bty7-2jhb,83,NEW YORK,5 AVE,569,5,102
bty7-2jhb,84,BROOKLYN,LORIMER ST,2747,3,301
bty7-2jhb,85,NEW YORK,RIVERSIDE DR,1185,1,107
bty7-2jhb,86,BROOKLYN,SHEEPSHEAD BAY RD,8771,119,315
bty7-2jhb,87,BK,7 AVE,1108,3,307
bty7-2jhb,88,BRONX,CASTLE HILL AVE,3510,158,209
bty7-2jhb,89,NEW YORK,WEST 52 ST,1061,7502,104
bty7-2jhb,90,NEW YORK,WEST 225 ST,2215,42,208
bty7-2jhb,91,NEW YORK,5 AVE,1289,72,105
bty7-2jhb,92,BROOKLYN,SAINT MARKS PLACE,395,30,302
bty7-2jhb,93,NEW YORK,WEST 66 ST,1137,7501,107
bty7-2jhb,94,LONG ISLAND CITY,MERCER ST,524,66,102
bty7-2jhb,95,BK,RALPH AVE,1508,1,303
bty7-2jhb,96,BROOKLYN,WATER ST,35,7501,302
bty7-2jhb,97,BROOKLYN,HILLSIDE AVE,2171,1,112
bty7-2jhb,98,BROOKLYN,HART ST,1596,14,303
bty7-2jhb,99,NEW YORK,9 AVE,713,1,104
bty7-2jhb,100,NEW YORK,PARK AVE,1493,7504,108
bty7-2jhb,101,SECAUCUS,MADISON AVE,1375,49,108
bty7-2jhb,102,BROOKLYN,RALPH AVE,1508,1,303
bty7-2jhb,103,BROOKLYN,SARATOGA AVE,3554,125,316
bty7-2jhb,104,BROOKLYN,WEST 40 ST,789,44,105
bty7-2jhb,105,NEW YORK,5 AVE,573,43,102
bty7-2jhb,106,NEW YORK,EAST 66 ST,1381,1,108
bty7-2jhb,107,NEW YORK,PARK AVE,1501,40,108
